PC1,PC2,PC3
-1.721339,-1.390718,-0.961512
-1.669579,-1.432186,-0.916733
-1.721218,-1.339906,-1.017301
-1.676511,-1.366612,-1.014653
-1.736066,-1.177146,-1.143857
-1.708634,-1.251801,-1.101915
-1.660873,-1.264700,-1.101345
-1.659771,-1.145442,-1.156550
-1.659847,-1.461385,-0.866206
-1.696975,-1.426975,-0.328324
-1.655643,-1.479391,-0.349803
-1.647631,-1.528598,-0.427914
-1.693623,-1.528696,-0.579528
-1.647609,-1.552904,-0.619556
-1.730922,-0.921749,-0.210058
-1.703691,-0.906645,-0.156465
-1.701379,-0.964016,-0.237494
-1.725206,-0.803032,-0.092125
-1.664928,-0.881439,-0.092304
-1.660726,-0.958363,-0.169138
-1.646477,-0.996225,-0.211984
-1.654193,-0.762824,0.020413
-1.706266,-0.757998,-0.036249
-1.670884,-0.825651,-0.046861
-1.686324,-0.630499,0.063468
-1.694407,-0.687715,0.027684
-1.655296,-0.575805,0.112131
-1.682570,-0.498354,0.087490
-1.667121,-0.433448,0.069536
-1.717384,-0.394562,0.035522
-1.688666,-0.839790,-0.074170
-1.635192,0.050535,0.209515
-1.666746,0.023325,0.164406
-1.620717,0.152996,0.220073
-1.672863,0.147877,0.178976
-1.553298,-0.226772,0.196798
-1.560503,-0.131521,0.145973
-1.606667,-0.112369,0.100087
-1.553222,-0.004086,0.162838
-1.601746,-0.016857,0.109448
-1.550599,0.120511,0.177998
-1.537563,1.045651,0.180689
-1.518014,0.975350,0.106902
-1.544195,0.903024,0.072046
-1.585943,0.856482,0.051267
-1.569041,0.821268,0.031557
-1.606632,0.766179,0.002913
-1.558175,0.764968,-0.044792
-1.607509,0.709761,-0.070946
-1.611003,0.783950,-0.121799
-1.541610,0.846183,-0.119209
-1.594555,1.072489,0.323556
-1.545372,1.087448,0.272541
-1.594954,1.042196,0.230097
-1.568102,1.005555,0.156853
-1.583114,0.973998,0.136833
-1.605455,0.919227,0.106192
-1.540746,1.007788,0.425986
-1.558413,1.059027,0.395147
-1.588645,0.982749,0.379367
-1.546095,1.094246,0.371344
-1.595728,0.097775,0.128292
-1.544643,0.250400,0.195337
-1.584442,0.225279,0.152763
-1.535731,0.360516,0.211574
-1.580968,0.345136,0.163766
-1.514983,0.463858,0.241159
-1.548005,0.449430,0.202601
-1.516796,0.733683,0.420908
-1.557948,0.761415,0.386801
-1.606661,0.744608,0.340345
-1.515200,0.811666,0.433270
-1.551078,0.891458,0.407445
-1.595024,0.868233,0.365779
-1.507490,0.939872,0.453391
-1.591152,1.265789,-0.145062
-1.551654,1.310414,-0.190080
-1.570708,1.313392,-0.224393
-1.528203,1.349355,-0.266060
-1.574007,1.317414,-0.312984
-1.539003,1.349554,-0.370142
