PC1,PC2,PC3
-0.371471,-0.113345,-0.041144
-0.360193,-0.074643,-0.013153
-0.367434,-0.080042,-0.023019
-0.371337,-0.083966,-0.029299
-0.367169,-0.061119,-0.020651
-0.371337,-0.069658,-0.027003
-0.375129,-0.064706,-0.033224
-0.359654,-0.050232,-0.012132
-0.366935,-0.034162,-0.018503
-0.371730,-0.043826,-0.025207
-0.375859,-0.040080,-0.031882
-0.361880,-0.024912,-0.012008
-0.360104,-0.002800,-0.008535
-0.367121,-0.008688,-0.016866
-0.373010,-0.012826,-0.024700
-0.376184,-0.015474,-0.031201
-0.373453,0.010648,-0.023220
-0.359761,-0.061271,0.078275
-0.367301,-0.068097,0.069633
-0.367576,-0.042533,0.071386
-0.345706,0.060843,0.084866
-0.348531,0.053162,0.088570
-0.351745,0.075298,0.075715
-0.339524,0.072125,0.078737
-0.354950,0.114317,-0.022456
-0.345614,0.114310,-0.030175
-0.352577,0.105577,-0.034681
-0.337853,0.129393,-0.023385
-0.341701,0.120542,-0.027711
-0.345023,0.104208,-0.041770
-0.338267,0.166674,0.015738
-0.342035,0.158522,0.009122
-0.345221,0.152671,0.009291
-0.351023,0.140997,0.002123
-0.347557,0.128630,-0.015810
-0.352364,0.120548,-0.018929
-0.340442,0.141919,-0.009109
-0.345240,-0.002933,-0.011733
-0.342771,0.010000,-0.012728
-0.349545,0.070014,0.010819
-0.343574,0.084840,0.017795
-0.340034,0.104458,0.023328
-0.350527,0.096472,0.013237
-0.348252,0.119296,0.017168
-0.356009,0.112899,0.008652
-0.339869,0.129615,0.025541
-0.346035,0.142227,0.018688
-0.352294,0.131538,0.012432
-0.338409,0.154004,0.026904
-0.343538,0.155884,0.019702
-0.353490,0.181104,-0.050211
-0.344498,0.199524,-0.050972
-0.354830,0.196859,-0.061839
-0.345306,0.212910,-0.061182
-0.353097,0.212151,-0.074568
-0.344434,0.222168,-0.069641
-0.341854,0.229637,-0.078315
-0.351369,0.221747,-0.085752
-0.356128,0.210628,-0.095164
-0.340291,0.234479,-0.083833
-0.348888,0.227075,-0.092556
-0.342814,0.228983,-0.100137
-0.349223,0.216210,-0.106589
-0.340006,0.220965,-0.117733
-0.344782,0.217293,-0.115775
-0.348590,0.210789,-0.124594
-0.338828,0.208350,-0.136477
-0.351824,0.195383,-0.129560
-0.354545,0.176337,-0.133492
-0.341225,0.193274,-0.141084
-0.346674,0.178764,-0.145180
-0.353734,0.166193,-0.151574
-0.341023,0.185274,-0.150375
-0.340627,0.177070,-0.159610
-0.342650,0.166640,-0.162321
-0.337270,0.188394,-0.159846
-0.346543,0.154710,-0.165385
-0.346421,0.144456,-0.168936
-0.349327,0.129837,-0.171554
-0.353573,0.112325,-0.177091
-0.354587,0.097807,-0.178960
-0.348052,0.089936,-0.191096
-0.337745,0.129785,-0.181835
-0.342228,0.112531,-0.187617
-0.344361,0.097820,-0.192227
-0.349054,0.075843,-0.196952
-0.350380,0.052301,-0.199625
-0.338483,0.090071,-0.203006
-0.340100,0.076141,-0.205493
-0.341227,0.052417,-0.207980
-0.343100,-0.045482,-0.129938
-0.352741,0.005589,-0.100150
-0.353922,-0.011036,-0.101455
-0.337479,-0.038376,-0.119116
-0.343236,-0.016099,-0.108503
-0.353265,-0.024588,-0.116354
-0.344563,-0.028015,-0.113120
-0.353188,-0.038072,-0.131046
-0.351721,-0.052550,-0.139882
-0.355964,0.027016,-0.103929
-0.348884,-0.002794,-0.102088
-0.348895,0.029096,-0.114390
-0.344270,0.007580,-0.111354
-0.344945,-0.002071,-0.106969
-0.340358,0.029811,-0.123378
-0.337539,0.011518,-0.121291
-0.355424,-0.104601,-0.148044
-0.351000,-0.126037,-0.143229
-0.336288,-0.119463,-0.145813
-0.345453,-0.099936,-0.149168
-0.343570,-0.078856,-0.147490
-0.351212,-0.070400,-0.146977
-0.336602,-0.068732,-0.140488
-0.351789,-0.173750,0.032940
-0.349653,-0.184887,0.019087
-0.344330,-0.183448,0.029839
-0.354191,-0.193050,-0.000485
-0.348858,-0.191286,0.012428
-0.336941,-0.204235,0.014454
-0.352913,-0.200932,-0.016919
-0.348163,-0.203023,-0.007155
-0.337181,-0.211138,0.000306
-0.342506,-0.210115,-0.011480
-0.351057,-0.205813,-0.035641
-0.346774,-0.209662,-0.025672
-0.344043,-0.209751,-0.045734
-0.347182,-0.204869,-0.054203
-0.351178,-0.196967,-0.072114
-0.340488,-0.208555,-0.061748
-0.355610,-0.183044,-0.094343
-0.346439,-0.195241,-0.087302
-0.342475,-0.201544,-0.080595
-0.347117,-0.182808,-0.103898
-0.339038,-0.194921,-0.094993
-0.347494,-0.164928,-0.121037
-0.336951,-0.181016,-0.111522
-0.343415,-0.144421,-0.137398
-0.338644,-0.189704,0.030015
-0.346183,-0.171763,-0.039822
-0.344186,-0.166291,-0.031137
-0.343033,-0.135215,-0.009388
-0.343590,-0.158995,-0.024873
-0.338722,-0.122504,0.001465
-0.343268,-0.125441,-0.004297
-0.350069,-0.137639,-0.020773
-0.353380,-0.145862,-0.030509
-0.336474,-0.104845,0.008130
-0.344284,-0.109384,-0.001251
-0.351897,-0.114221,-0.010809
-0.355641,-0.118409,-0.017208
-0.344578,-0.087242,0.002307
-0.352833,-0.093185,-0.007574
-0.336475,-0.082562,0.006279
-0.352267,-0.066479,-0.005852
-0.342156,-0.061316,-0.003757
-0.346872,-0.046055,-0.007347
-0.355777,-0.038618,-0.009820
-0.350174,-0.029677,-0.008922
-0.347079,-0.016871,-0.005969
-0.354203,-0.012559,-0.006484
-0.336501,0.019801,0.016293
-0.343584,0.013510,0.009585
-0.352513,0.010064,0.000452
-0.342619,0.039250,0.011175
-0.350786,0.033388,0.003049
-0.334624,0.042551,0.102532
-0.318560,0.051629,0.105381
-0.331970,0.050575,0.099718
-0.332353,0.060784,0.090599
-0.318931,0.069122,0.093787
-0.329159,0.069143,0.085451
-0.320177,0.168633,-0.003658
-0.323888,0.159562,-0.007843
-0.327018,0.153246,-0.011297
-0.331951,0.142361,-0.016785
-0.321239,0.137213,-0.022328
-0.327500,0.128482,-0.027138
-0.329094,0.123304,-0.031740
-0.335899,0.115943,-0.037099
-0.325646,0.136731,-0.041077
-0.326227,0.197041,0.027595
-0.329376,0.191025,0.030429
-0.321487,0.206141,0.034256
-0.332964,0.179010,0.021822
-0.318766,0.197627,0.019931
-0.319596,0.191791,0.015439
-0.324170,0.181150,0.011381
-0.329473,0.167962,0.004694
-0.332939,0.159042,0.000301
-0.335706,0.152610,-0.003161
-0.324171,0.196805,0.040201
-0.319947,0.193079,0.046701
-0.327193,0.002817,-0.000071
-0.335955,-0.002103,-0.007701
-0.319875,0.011859,0.007777
-0.325267,0.028208,0.003076
-0.333094,0.021859,-0.005337
